,CIK,Ticker
344,69633,NSSC
345,69733,NATH
346,69891,FIZZ
347,70145,NFG
348,70318,THC
349,70415,GPX
350,70487,NRC
351,70793,NTY
352,70858,BAC
353,70866,VYX
354,71557,NUVR
355,71691,NYT
356,71829,NR
357,72162,NL
358,72170,NRTI
359,72205,NOBH
360,72207,NBL
361,72331,NDSN
362,72333,JWN
363,72444,VXRT
364,72573,MOV
365,72741,ES
366,72903,XEL
367,72971,WFC
368,73124,NTRS
369,73290,BMRA
370,73309,NUE
371,73605,OKRG.Q
372,73756,OII
373,73887,VTOL
374,74046,ODC
375,74260,ORI
376,74303,OLN
377,75208,OSG
378,75252,OMI
379,75288,OXM
380,75340,PFIN
381,75439,MDIT
382,75677,PKG
383,75829,PLL
384,76149,PARF
385,76267,PKE
386,76282,PKOH
387,76321,PKDC
388,76334,PH
389,76605,PATK
390,77159,ROCC
391,77360,PNR
392,77449,PBY
393,77476,PEP
394,77543,TPC
395,77776,PHH
396,77877,PDCE
397,78003,PFE
398,78128,WTRG
399,78239,PVH
400,78460,PNY
401,78749,AGYS
402,78814,PBI
403,78890,BCO
404,79282,BRO
405,79661,PRSI
406,79879,PPG
407,79958,PCP
408,80035,PLPC
409,80172,NPK
410,80420,POWL
411,80424,PG
412,81061,PUSH
413,81157,PGAI
414,81318,YUMA.Q
415,81362,KWR
416,82020,USLM
417,82166,RAVN
418,82811,RRX
419,83350,RSRV
420,83402,REXI
421,84112,RSKI.A
422,84129,RAD
423,84246,RLI
424,84748,ROG
425,84839,ROL
426,85408,RDC
427,85535,RGLD
428,85961,R
429,85974,RYL
430,86115,SFES
431,86144,SWY
432,86264,CRBO
433,86312,TRV
434,86759,SFEF
435,87050,NEON
436,87347,SLB
437,87565,SHLM
438,87802,SCND
439,88121,SEB
440,88205,SPXC
441,88790,IIN
442,88941,SMTC
443,88948,SENE.A
444,89089,SCI
445,89140,SVT
446,89270,SLI
447,89439,MLI
448,89800,SHW
449,90168,SIF
450,90185,SIAL
451,90498,SFNC
452,90721,PVSP
453,90896,SKY
454,91142,AOS
455,91388,SFD
456,91419,SJM
457,91440,SNA
458,91576,KEY
459,91668,SODI
460,91767,SON
461,91928,SJI
462,92122,SO
463,92230,TFC
464,92380,LUV
465,92679,SPA
466,93205,LTDH
467,93314,VNRX
468,93389,SMP
469,93410,CVX
470,93676,SCX
471,93751,STT
472,94049,SCL
473,94344,STC
474,94845,LEVI
475,95029,RGR
476,95047,DVLY
477,95052,RDEN
478,95521,SVU
479,95552,SUP
480,95574,SGC
481,95953,ACNT
482,96021,SYY
483,96223,JEF
484,96289,RSH
485,96536,TAYD
486,96699,TCCO
487,96763,PULS
488,96793,SSY
489,96831,TECU
490,96869,TRC
491,96885,TIKK
492,97134,TNC
493,97196,SOF
494,97210,TER
495,97216,TEX
496,97476,TXN
497,97745,TMO
498,98222,TDW
499,98246,TIF
500,98338,TSRI
501,98362,TKR
502,98618,ALAN
503,98677,TR
504,98752,TTLO
505,99106,TNLX
506,99302,TRNS
507,99359,BZC
508,99771,TRIN
509,99780,TRN
510,100378,TWIN
511,100493,TSN
512,100517,UAL
513,100591,AGX
514,100625,SRMC
515,100716,UNAM
516,100726,UFI
517,100885,UNP
518,101063,CQB
519,101199,UFCS
520,101295,UG
521,101382,UMBF
522,101538,UAMY
523,101594,USEG
524,101778,MRO
525,101829,RTX
526,101830,S
527,101984,UEIC
528,102037,UVV
529,102109,UUU
530,102198,CTT
531,102212,UVSP
532,102379,URS
533,102729,VMI
534,102741,VAL
535,102752,VSEC
536,103096,TRR
537,103145,VECO
538,103379,VFC
539,103595,VLGE.A
540,103730,VSH
541,103872,VOLT
542,104169,WMT
543,104207,WBA
544,104777,ALTV
545,104889,GHC
546,104894,ELME
547,104897,WSCI
548,104918,AVA
549,105016,WSO
550,105132,WDFC
551,105319,WW
552,105418,WMK
553,105634,EME
554,105744,GBR
555,105770,WST
556,106040,WDC
557,106532,WEYS
558,106535,WY
559,106618,HNH
560,106640,WHR
561,107140,WLY
562,107263,WMB
563,107687,WGO
564,108312,WWD
565,108385,WRLD
566,108985,YORW
567,109177,SPB
568,109198,TJX
569,109380,ZION
570,109657,GTBP
571,110027,LPTC
572,110471,WWW
573,110621,RPM
574,200406,JNJ
575,201461,CYN
576,202058,LHX
577,202947,CPTP
578,203077,STJ
579,203527,VAR
580,203596,WSBC
581,215419,CKP
582,215466,CDE
583,216085,HVT
584,216228,ITT
585,216539,MEG
586,217346,TXT
587,225211,TGHI
588,225263,NEWP
589,225628,PSSR
590,225648,CVA
591,230557,SIGI
592,275053,NATR
593,275880,PSN
594,276209,CTWS
595,276283,ESCC
596,276720,PCYO
597,277058,UWN
598,277135,GWW
599,277509,FSS
600,277595,EGN
601,277948,CSX
602,278041,ISH
603,278165,OMQS
604,278166,CVCO
605,310056,VCON
606,310142,SXT
607,310158,MRK
608,310354,SXI
609,310522,FNMA
610,310568,MSCC
611,310764,SYK
612,311094,WABC
613,312257,IVFH
614,313143,HAE
615,313478,HKN
616,313616,DHR
617,313716,HDNG
618,313927,CHD
619,314203,MUX
620,314227,TOMZ
621,314489,BUSE
622,314712,BMER.Q
623,314808,VAL
624,315131,PHX
625,315189,DE
626,315213,RHI
627,315293,AON
628,315449,UQM
629,315545,PVCT
630,315709,IBOC
631,315849,SGB
632,315852,RRC
633,315858,BVH
634,315958,CRMZ
635,316206,HOT
636,316253,ENZ
637,316300,EXCE
638,316709,SCHW
639,316736,FPPP
640,316793,IRF
641,317340,MKRS
642,317540,COKE
643,317788,APPS
644,317889,BTGI
645,318154,AMGN
646,318299,SRCO
647,318300,PEBO
648,318306,ABEO
649,318673,SNFC.A
650,318833,TISI
651,318996,KEGX
652,319016,FZMD
653,319200,REGT
654,319201,KLAC
655,319458,ENSV
656,319671,GBGD
657,319815,MXWL
658,320017,LSTA
659,320121,TLS
660,320187,NKE
661,320193,AAPL
662,320335,GL
663,320340,CCRD
664,320345,MCRS
665,320575,PES
666,350403,PHIG
667,350563,TE
668,350698,AN
669,350737,OBCI
670,350797,EV
671,350852,CTBI
672,350868,ITI
673,350894,SEIC
674,350907,THOR
675,350917,ELX
676,351569,ABCB
677,351789,ELSE
678,351817,SBOW
679,351834,STKL
680,351998,DAIO
681,352363,KATE
682,352541,LNT
683,352825,FSTR
684,352955,CKX
685,352991,AOXY
686,352998,IG
687,353020,AEGN
688,353184,AIRT
689,353569,QDEL
690,353944,IGT
691,354190,AJG
692,354260,SOFT
693,354647,CVBF
694,354707,HE
695,354869,FMER
696,354908,FLIR
697,354950,HD
698,354963,SHEN
699,355379,MDWT
700,355429,PL
701,355627,CTIG
702,355777,LOJN
703,355811,GNTX
704,355999,ESND
705,356028,CA
706,356037,CSPI
707,356130,EMCI
708,356171,TCBK
709,356309,NJR
710,356590,GTII
711,357001,TMED
712,357020,XCRA
713,357097,FCSC
714,357173,OSBC
715,357294,HOV
716,357301,TRST
717,700564,FULT
718,700565,FMBH
719,700733,NPBC
720,700764,VYEY
721,700841,RCMT
722,700863,SUSQ
723,700923,MYRG
724,701288,ATRI
725,701347,CPF
726,701374,SIX
727,701719,ELA
728,701811,MENT
729,701869,IHC
730,701985,BBWI
731,702165,NSC
732,702325,FMBI
733,702513,BOCH
734,703329,FFMH
735,703351,EAT
736,703360,LSI
737,703361,IDTI
738,703604,DSGR
739,704159,PLCC
740,704172,PHIL
741,704366,WODI
742,704415,TVTY
743,704440,KRMD
744,704532,ONTO
745,704562,CDMO
746,705432,SBSI
747,706129,HBNC
748,706698,UTMD
749,706863,UNB
750,706874,PLMT
751,707179,ONB
752,707388,STRR
753,707511,RGRX
754,707549,LRCX
755,707605,ASRV
756,707886,UCFC
757,708781,CASS
758,708818,NXGN
759,708819,MDR
760,708821,PAR
761,708955,FFBC
762,709005,NROM
763,709283,QMCO
764,709337,FMNB
765,709804,SXCL
766,710782,SYQH
767,711034,THMG
768,711065,AMCC
769,711377,NEOG
770,711404,COO
771,711665,GADS
772,711669,CBAN
773,712034,ACCO
774,712515,EA
775,712534,FRME
776,712537,FCF
777,712770,OLP
778,712771,CNOB
779,713095,FFKT
780,713425,AMSW.A
781,713671,DNBF
782,713676,PNC
783,714256,SMTI
784,714284,SORL
785,714310,VLY
786,714395,GABC
787,714530,NBBC
788,714562,THFF
789,714603,DST
790,714712,JUVF
791,715072,RNST
792,715446,ANIX
793,715579,ACNB
794,715787,TILE
795,715788,EVIO
796,715957,D
797,716006,YELL.Q
798,716133,CBB
799,716314,GHM
800,716605,PWOD
801,716634,RDI
802,716643,RGS
803,716688,MFCO
804,717423,MUR
805,717605,HXL
806,717720,VALU
807,717806,FUSB
808,717954,UNF
809,718332,RAVE
810,718413,CMTV
811,718924,SPAN
812,718937,STAA
813,719135,APYX
814,719209,ISRL
815,719220,STBA
816,719274,GIGA
817,719402,FXNC
818,719413,HL
819,719494,INRD
820,719733,KTCC
821,719739,SIVB.Q
822,719866,ACAT
823,719955,WSM
824,720002,MSFG
825,720005,RJF
826,720154,NOTV
827,720500,ASYS
828,720672,SF
829,720762,NIMU
830,720858,ITIC
831,720875,DYNT
832,721371,CAH
833,721447,CAWW
834,721683,TSS
835,721693,CREG
836,721994,LKFN
837,722313,NSYS
838,722392,PLNR
839,722572,FKWL
840,722723,HNGR
841,722830,IMMU
842,723125,MU
843,723188,CBU
844,723254,CTAS
845,723269,IRNS
846,723531,PAYX
847,723603,CULP
848,723612,CAR
849,723646,FRAF
850,723733,MUSS
851,724004,MLAB
852,724445,BZYR
853,724571,FRED.Q
854,724606,PNRA
855,724742,TPHS
856,724910,NVEC
857,725363,CVM
858,725394,DFCO
859,725876,FNCX
860,726293,NBGV
861,726513,TRCO
862,726514,ESIO
863,726517,MBVT
864,726601,CCBG
865,726854,CHCO
866,726958,CASY
867,727207,AXDX
868,727273,CDZI
869,727346,GBCS
870,727510,ENZN
871,727634,ISGN
872,727672,SCIE
873,728249,INPH.Q
874,728303,CRV
875,728331,STRN
876,728385,MEEC
877,728387,CATX
878,728447,EVOA
879,729237,PKY
880,729580,BELF.A
881,729986,UBSI
882,730255,CAMP.Q
883,730263,THO
884,730272,RGEN
885,730349,TOFB
886,730464,ATGE
887,730669,FCIC
888,730708,SBCF
889,731012,HCSG
890,731245,PDNL.B
891,731653,UBCP
892,731766,UNH
893,731802,ATO
894,732026,TRT
895,732712,VZ
896,732717,T
897,732834,CLR
898,733269,RAMP
899,733337,PWCO
900,733590,TCI
901,736012,INTZ
902,736772,CCNE
903,736822,BLUD
904,737207,ATRX
905,737210,LNBB
906,737300,COVR
907,737468,WASH
908,737758,TTC
909,737875,FKYS
910,738214,AMTX
911,739421,CZFS
912,740260,VTR
913,740663,FLIC
914,740664,RFIL
915,740806,FMBM
916,740971,OPOF
917,741114,IFIT
918,741516,AMNB
919,741815,HH
920,742112,IVC
921,742126,ECOL
922,742278,RES
923,743238,SHYF
924,743316,MXIM
925,743367,BHB
926,743758,AIAD
927,743988,XLNX
928,744187,REX
929,744218,CLDX
930,744452,APDN
931,744825,AMS
932,745308,JOE
933,745732,ROST
934,745981,MSL
935,746210,OBLG
936,746598,BRC
937,746838,UIS
938,747540,SPRS
939,748268,RCAT
940,748592,ERNA
941,748790,GCEH
942,749038,CCUR
943,749251,IT
944,749647,IMNN
945,749660,ICAD
946,750004,LNW
947,750556,STI
948,750558,QNBC
949,750574,AUBN
950,750577,HWC
951,750686,CAC
952,751364,NNN
953,751365,VIRC
954,751652,STR
955,751978,VICR
956,752294,ELST
957,752642,UMH
958,752714,MGRC
959,753048,AXIH.Q
960,753308,NEE
961,753568,EXAR
962,753772,MZEI.Q
963,754673,SCNB
964,754737,SCG
965,754811,GROW
966,754813,HEWA
967,755001,UTL
968,757011,USG
969,758743,VIDE
970,758938,QBAK
971,759944,CFG
972,760498,BANF
973,763532,LYTS
974,763563,CHMG
975,763744,LCII
976,763901,BPOP
977,763907,FUNC
978,764038,SSB
979,764065,CLF
980,764180,MO
981,764195,VBIV.Q
982,764401,IIIN
983,764478,BBY
984,764579,CASM
985,764622,PNW
986,764630,SPEV
987,764811,COB
988,764897,BRST
989,765207,FNLC
990,766404,MSOF
991,766421,ALK
992,766704,WELL
993,766792,CVV
994,766829,SJW
995,767405,SBFG
996,767884,CERE
997,767920,PMCS
998,768251,ALTR
999,768408,CYAN
1000,768411,CYBE
1001,768710,RELV
1002,768835,BIG
1003,768899,TBI
1004,769397,ADSK
1005,769520,MIDD
1006,771266,KOPN
1007,771497,ABM
1008,771856,CSBR
1009,771999,DSS
1010,772320,CRXM
1011,772406,CRUS
1012,772897,HTCH
1013,773141,MDC
1014,773318,VRTC
1015,773717,ACRG
1016,773840,HON
1017,773910,APC
1018,774569,CLDB
1019,775057,ALTX
1020,775158,OSK
1021,775215,HBT
1022,775368,Y
1023,776008,RCPI.Q
1024,776901,INDB
1025,778164,ALTO
1026,778946,BXG
1027,779152,JKHY
1028,779544,ARKR
1029,780571,ITRI
1030,781902,IBAL
1031,783005,EMMS
1032,783324,VGZ
1033,783412,DJCO
1034,784199,AORT
1035,784539,EACO
1036,784977,POR
1037,785161,EHC
1038,785557,DLHC
1039,785786,PLXS
1040,785787,AEPI
1041,785956,JJSF
1042,786110,GYMB
1043,786947,ACUR
1044,787250,DPL
1045,787253,NAII
1046,788329,JOUT
1047,788611,NTRP
1048,788784,PEG
1049,788920,PDEX
1050,788965,HNRG
1051,789019,MSFT
1052,789073,BEAM
1053,789132,SPNC
1054,789460,WKC
1055,789570,MGM
1056,789933,NC
1057,790070,EMC
1058,790179,PGEC
1059,790359,NBTB
1060,790526,RDNT
1061,790715,SIGM
1062,790816,BDN
1063,791519,SPLS
1064,791770,SQBG.Q
1065,791907,LLTC
1066,791908,XOMA
1067,791915,CY
1068,791963,OPY
1069,792130,DWCH
1070,792641,BRLI
1071,792966,FMAO
1072,792977,AVM
1073,792987,ASTE
1074,793074,WERN
1075,793171,VTRO
1076,793306,BDCO
1077,793524,REFR
1078,793547,NAVG
1079,793733,SKYW
1080,793952,HOG
1081,794170,TOL
1082,794172,VIVO
1083,794323,LVLT
1084,794619,AMWD
1085,795212,KSPN
1086,795266,KBH
1087,795403,WTS
1088,796343,ADBE
1089,796505,CLFD
1090,796534,NKSH
1091,796764,PRXI.Q
1092,797465,STLY
1093,797468,OXY
1094,797564,HSTC
1095,797721,VSAT
1096,798081,LAKE
1097,798287,PTSI
1098,798354,FI
1099,798359,CSR
1100,798371,GARB
1101,798528,OMEX
1102,798783,UHT
1103,798941,FCNC.A
1104,798949,UNTC
1105,799088,CKEC
1106,799165,DWSN
1107,799167,MRTN
1108,799231,AFAM
1109,799233,HTLD
1110,799288,LE
1111,799292,MHO
1112,799698,LADX
1113,799729,PRXL
1114,799850,CRMT
1115,800240,ODP
1116,800457,DGIC.A
1117,800458,RENT
1118,800459,HAR
1119,801337,WBS
1120,802257,MITI
1121,802481,PPC
1122,802681,BMTC
1123,802724,ISV
1124,803016,CFNB
1125,803164,COFS
1126,803578,WAVD
1127,803647,VSR
1128,803649,EQC
1129,804212,ARG
1130,804269,ACF
1131,804328,QCOM
1132,804753,CERN
1133,805264,AXLL
1134,805305,ZQK
1135,805326,EMIS
1136,805676,PRK
1137,805928,AXGN
1138,806172,SOTK
1139,806279,CVLY
1140,806517,PMD
1141,806592,SUWN
1142,807707,VOXX
1143,807863,MITK
1144,807882,JACK
1145,807884,CSH
1146,808047,QKLS
1147,808326,EMKR
1148,808362,BHI
1149,808450,NAV
1150,809248,TAST
1151,809933,EEI
1152,810136,PLAB
1153,810332,MESA
1154,810509,NAVB
1155,810958,CZNC
1156,811156,CMS
1157,811212,THMO
1158,811222,CDIX
1159,811240,BIOL
1160,811589,FBNC
1161,811596,KALU
1162,811641,ICCC
1163,811779,MCET
1164,811808,SMMF
1165,811831,NBN
1166,812011,MTN
1167,812074,OI
1168,812128,SAFM
1169,812149,RGBD
1170,812152,RDGA
1171,812306,PCYN
1172,812348,CNBK.A
1173,812701,CCC
1174,812796,SNGX
1175,812906,HKF
1176,813298,DXLG
1177,813640,CZBS
1178,813672,CDNS
1179,813716,CIRX
1180,813828,PARA
1181,813920,CEC
1182,814286,HALN
1183,814453,NWL
1184,814547,FICO
1185,814549,EBIX.Q
1186,814585,MBI
1187,814586,LWAY
1188,814676,CPSH
1189,814926,CAPC
1190,815093,MGCD
1191,815094,ABMD
1192,815097,CCL
1193,815556,FAST
1194,816159,AIRM
1195,816284,CELG
1196,816761,TDC
1197,816956,CNMD
1198,817135,AIQ
1199,817366,WOOF
1200,817720,SYNA
1201,817979,ACW
1202,818033,HRTX
1203,818479,XRAY
1204,818677,SFDL
1205,818686,TEVA
1206,819050,FRTX
1207,819220,LABL
1208,819689,MICR.D
1209,819793,AIN
1210,819913,HALL
1211,819926,SEII
1212,820027,AMP
1213,820081,CBM
1214,820313,APH
1215,820318,COHR
1216,820600,OMAG.Q
1217,820608,QTXB
1218,820736,ORB
1219,820738,TIGR
1220,820771,GFMH
1221,820901,ARET
1222,821002,GIII
1223,821026,ANDE
1224,821127,BPFH
1225,821130,USM
1226,821189,EOG
1227,821483,PARR
1228,821995,JNP
1229,822370,EMMA
1230,822411,IMUC
1231,822662,LION
1232,822663,IPAR
1233,822746,AMNI
1234,822818,CLH
1235,822997,YBAO
1236,823094,BID
1237,823546,RKFL
1238,823768,WM
1239,824142,AAON
1240,824410,SASR
1241,824416,QPRC
1242,825322,XDSL
1243,825324,GTIM
1244,825410,LDR
1245,825411,SEV
1246,825542,SMG
1247,826154,ORRF
1248,826253,AUSI
1249,826326,RMTO
1250,827052,EIX
1251,827054,MCHP
1252,827099,CPWR
1253,827187,SNBR
1254,827809,NVLN.F
1255,827871,EGRX
1256,827876,CLSK
1257,828146,LINK
1258,828878,HHBT
1259,828944,WSFS
1260,829224,SBUX
1261,829323,INUV
1262,829325,SPYR
1263,830052,RBCL
1264,830122,VWTR
1265,830524,CCF
1266,830616,SCIA
1267,830656,PBIO
1268,830748,PCE
1269,830916,MFLX
1270,831001,C
1271,831259,FCX
1272,831489,SCRH
1273,831547,SPPI
1274,831641,TTEK
1275,831968,PWX
1276,832101,IEX
1277,832428,SSP
1278,832480,UTGN
1279,832488,MAMS
1280,832489,GOVX
1281,832988,SIG
1282,833079,MTH
1283,833444,JCI
1284,833640,POWI
1285,833795,HOFD
1286,834285,FRBK.Q
1287,834365,BLFS
1288,835011,MGPI
1289,835324,SYBT
1290,835662,AIXN
1291,835729,BMC
1292,835887,PGNX
1293,836147,MBCN
1294,836157,LNN
1295,836690,ISSC
