,cik,Ticker,fy,fp,date,filed,ddate,Assets,AssetsCurrent,Cash,AssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,Equity,HolderEquity,RetainedEarnings,AdditionalPaidInCapital,TreasuryStockValue,TemporaryEquity,RedeemableEquity,LiabilitiesAndEquity,n_cik_bs,Revenues,CostOfRevenue,GrossProfit,OperatingExpenses,OperatingIncomeLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxExpenseBenefit,AllIncomeTaxExpenseBenefit,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,ProfitLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLoss,n_cik_is,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,EffectOfExchangeRateFinal,CashPeriodIncreaseDecreaseIncludingExRateEffectFinal,n_cik,sic,stprba,countryinc,afs,nciks
65,1800,ABBOTT LABORATORIES,2011,FY,2011-12-31,20120221,20111231,60276893000,23768774000,6812820000,36508119000,35750748000,15480228000,20270520000,24526145000,24526145000,20907362000,0,-3687478000,0,0,60276893000,60,38851259000,15540580000,23310679000,17558731000,5751948000,5198642000,470193000,4728449000,0,4728449000,0,4728449000,60,8970077000,-6023455000,260832000,8970077000,-6023455000,260832000,0,0,0,-43005000,3164449000,60,2834,IL,US,1-LAF,1
66,1800,ABBOTT LABORATORIES,2012,Q1,2012-03-31,20120508,20120331,62415801000,25602131000,4345910000,36813670000,36872367000,16785923000,20086444000,25543434000,25543434000,21314465000,0,-4297725000,0,0,62415801000,60,9456633000,3724921000,5731712000,4155990000,1575722000,1513029000,270905000,1242124000,0,1242124000,0,1242124000,60,2224930000,286074000,-5012614000,2224930000,286074000,-5012614000,0,0,0,34700000,-2466910000,60,2834,IL,US,1-LAF,1
67,1800,ABBOTT LABORATORIES,2012,Q2,2012-06-30,20120807,20120630,61859790000,26257492000,7052776000,35602298000,37287305000,17120467000,20166838000,24572485000,24572485000,22227912000,0,-5012598000,0,0,61859790000,60,19263733000,7362226000,11901507000,8221364000,3680143000,3516346000,549610000,2966736000,0,2966736000,0,2966736000,60,4291759000,401441000,-4324244000,4291759000,401441000,-4324244000,0,0,0,-129000000,239956000,60,2834,IL,US,1-LAF,1
68,1800,ABBOTT LABORATORIES,2012,Q3,2012-09-30,20121107,20120930,63257738000,27264244000,7996948000,35993494000,36153397000,16285978000,19867419000,27104341000,27104341000,23326756000,0,-4975279000,0,0,63257738000,60,29036974000,11060308000,17976666000,12307474000,5669192000,5388727000,479188000,4909539000,0,4909539000,0,4909539000,60,7811261000,-1789516000,-4855851000,7811261000,-1789516000,-4855851000,0,0,0,18234000,1184128000,60,2834,IL,US,1-LAF,1
69,1800,ABBOTT LABORATORIES,2012,FY,2012-12-31,20130215,20121231,67234944000,31322583000,10802163000,35912361000,40421712000,13280176000,27141536000,26813232000,26813232000,24150996000,0,-5590909000,0,0,67234944000,60,39873910000,15119718000,24754192000,16669677000,8084515000,6262614000,299694000,5962920000,0,5962920000,0,5962920000,60,9314401000,716093000,-6081288000,9314401000,716093000,-6081288000,0,0,0,40137000,3989343000,60,2834,IL,US,1-LAF,1
70,1800,ABBOTT LABORATORIES,2013,Q1,2013-03-31,20130508,20130331,42686613000,19096868000,4373120000,23589745000,20003338000,10406326000,9591687000,22683275000,22683275000,20062483000,0,-6194998000,0,0,42686613000,60,5377895000,2431803000,2946092000,2331304000,614788000,554551000,9890000,544661000,0,544661000,0,544661000,60,460255000,-4732700000,-2108011000,460255000,-4732700000,-2108011000,0,0,0,-48587000,-6429043000,60,2834,IL,US,1-LAF,1
71,1800,ABBOTT LABORATORIES,2013,Q2,2013-06-30,20130806,20130630,42903346000,19831124000,5572254000,23072222000,20475700000,10919614000,9550091000,22427646000,22427646000,20318892000,0,-6487355000,0,0,42903346000,60,10823920000,4976628000,5847292000,4605028000,1242264000,1155300000,134584000,1020716000,0,1020716000,0,1020716000,60,1176814000,-4268187000,-2071937000,1176814000,-4268187000,-2071937000,0,0,0,-66599000,-5229909000,60,2834,IL,US,1-LAF,1
72,1800,ABBOTT LABORATORIES,2013,Q3,2013-09-30,20131107,20130930,44132477000,19748949000,2882454000,24383528000,20344546000,11331665000,9006676000,23787931000,23787931000,21668078000,0,-6808771000,0,0,44132477000,60,16193059000,7427105000,8765954000,6893351000,1872603000,1783694000,-9884000,1793578000,0,1793578000,-192871000,1986449000,60,1698939000,-4826945000,-4768703000,1698939000,-4826945000,-4768703000,0,0,0,-23000000,-7919709000,60,2834,IL,US,1-LAF,1
73,1800,ABBOTT LABORATORIES,2013,FY,2013-12-31,20140221,20131231,42953000000,19247000000,3475000000,23706000000,17686000000,9507000000,8172000000,25267000000,25267000000,21979000000,0,-6844000000,0,0,42953000000,60,21848000000,10040000000,11808000000,9179000000,2629000000,2521000000,138000000,2383000000,193000000,2576000000,0,2576000000,60,3324000000,-6696000000,-3929000000,3324000000,-6696000000,-3929000000,0,0,0,-26000000,-7327000000,60,2834,IL,US,1-LAF,1
74,1800,ABBOTT LABORATORIES,2014,Q1,2014-03-31,20140507,20140331,41662000000,17931000000,2060000000,23731000000,18173000000,10186000000,7986000000,23489000000,23489000000,22005000000,0,-8713000000,0,0,41662000000,60,5244000000,2470000000,2774000000,2323000000,451000000,423000000,84000000,339000000,36000000,375000000,0,375000000,60,336000000,-1152000000,-595000000,336000000,-1152000000,-595000000,0,0,0,-4000000,-1415000000,60,2834,IL,US,1-LAF,1
75,1800,ABBOTT LABORATORIES,2014,Q2,2014-06-30,20140805,20140630,41475000000,18258000000,3570000000,23217000000,17771000000,9853000000,7917000000,23704000000,23704000000,22137000000,0,-8709000000,0,0,41475000000,60,10795000000,4976000000,5819000000,4607000000,1212000000,1160000000,361000000,799000000,42000000,841000000,0,841000000,60,1236000000,-1771000000,633000000,1236000000,-1771000000,633000000,0,0,0,-3000000,95000000,60,2834,IL,US,1-LAF,1
76,1800,ABBOTT LABORATORIES,2014,Q3,2014-09-30,20141106,20140930,42514000000,16464000000,3613000000,26050000000,19521000000,10823000000,8602000000,22993000000,22993000000,22335000000,0,-8679000000,0,0,42514000000,60,14957000000,6918000000,8039000000,6267000000,1772000000,1716000000,627000000,1089000000,291000000,1380000000,0,1380000000,60,2437000000,-2042000000,-192000000,2437000000,-2042000000,-192000000,0,0,0,-65000000,138000000,60,2834,IL,US,1-LAF,1
77,1800,ABBOTT LABORATORIES,2014,FY,2014-12-31,20150227,20141231,41275000000,15261000000,4063000000,26014000000,19636000000,10532000000,8996000000,21639000000,21639000000,22874000000,0,-8678000000,0,0,41275000000,60,20247000000,9218000000,11029000000,8430000000,2599000000,2518000000,797000000,1721000000,563000000,2284000000,0,2284000000,60,3675000000,-2742000000,-202000000,3675000000,-2742000000,-202000000,0,0,0,-143000000,588000000,60,2834,IL,US,1-LAF,1
